"cutoff","lm.mse","slm.mse"
58,0.224095200245187,0.224095200245162
59,0.286977947790782,0.286977947790784
60,0.271544158305228,0.271544158305211
61,0.0744933044201147,0.0744933044201177
62,0.458039940651422,0.458039940651421
63,0.237624626588382,0.2376246265884
64,0.115220823835527,0.115220823835521
65,0.17149821079079,0.171498210790784
66,0.448130046527747,0.448130046527743
67,0.44395370900972,0.443953709009732
68,0.452266611495248,0.452266611495217
69,0.304706784015535,0.304706784015531
70,0.167502265334287,0.16750226533427
71,0.153104046757502,0.153104046757501
72,0.15845858222853,0.158458582228538
73,0.178462976352887,0.178462976352873
74,0.186807813879085,0.186807813879081
75,0.131995052732743,0.131995052732734
76,0.116877688109246,0.116877688109244
77,0.107956615389421,0.107956615389421
78,0.108373350139535,0.108373350139526
79,0.126231841581222,0.126231841581221
80,0.113530569299543,0.113530569299534
81,0.121358178982704,0.121358178982704
82,0.0910053408173443,0.0910096408312916
83,0.0871335636313238,0.0871175461429173
84,0.084603249305361,0.0845601326544688
85,0.0768225060947612,0.0765834009931369
86,0.066222208963544,0.0662234672112284
87,0.0634358982300187,0.0634878385946788
88,0.053590708756671,0.0539774744855956
89,0.0511736035616894,0.0513943919370514
90,0.0516560559514918,0.052803543561184
91,0.0462559091964388,0.0479832430144502
92,0.0469620188128187,0.0487564620076902
93,0.0420275317519648,0.0450916656304927
94,0.0408154282524694,0.0455670130586628
95,0.0447886503456123,0.051416425827882
96,0.0498303875479553,0.0584301004597897
97,0.0498905523734979,0.0602724662142373
98,0.0502590166484941,0.0623634964112118
99,0.0471009187362516,0.0625675782966675
100,0.0468280540770694,0.0668102899761375
101,0.044024288565781,0.0671574883888325
102,0.0445058501401989,0.0714421756017356
103,0.0451928863100273,0.0727010785381882
104,0.0512199454017663,0.0759179020477263
105,0.0556866352161131,0.0792615387729283
106,0.0511244654010803,0.0715974602294767
107,0.0477481855379392,0.0667504709019442
108,0.0876262071617328,0.105823266504091
109,0.0553892068982218,0.0714359367375194
110,0.0488058070083945,0.0603666081312781
111,0.0497698077653768,0.0598589465988105
112,0.0525848719093587,0.0594930175468681
113,0.0496939184743024,0.0604828706638223
114,0.0507711975258653,0.0622130585264683
115,0.0444799320019568,0.0577205220052412
116,0.0465921082577111,0.0618323892180644
117,0.0482516481494605,0.0643354474642885
118,0.0484438249485275,0.0658567101284727
119,0.0456322139175412,0.0652904652850931
120,0.0513489213316895,0.0703132662175327
121,0.0538825888450034,0.0742168995585718
122,0.0508282150257927,0.0702128372340041
123,0.0536919633099496,0.0727475085084532
124,0.0563756230400963,0.0720787963835866
125,0.0534817574032915,0.0752553920021237
126,0.0480724352821397,0.0754623808059393
127,0.0492739529153127,0.0742703228726176
128,0.0498014030181778,0.0699238013784384
129,0.0633639561020591,0.0760283920419888
130,0.0706825918043633,0.0830515061971465
131,0.063958800642581,0.0865596187150149
132,0.062825148669361,0.0888656114922009
133,0.0695167071342096,0.093466734792818
134,0.0574745224559204,0.0839944592630637
135,0.0560638728717899,0.0735096185105256
136,0.0930461600701025,0.06618614584466
137,0.0789632926208599,0.0647373902275621
138,0.0684156308381709,0.0670924612100477
139,0.0769071143691142,0.0700507769715634
140,0.0879962272146318,0.0673437350934804
141,0.0547011017020268,0.0697280446160157
142,0.0545773775192434,0.0698292383095295
143,0.0567260134936158,0.0697500592530759
144,0.0576700800098705,0.0722013759534545
145,0.0573820395304914,0.0734912124428927
146,0.0612062288149987,0.0769168990172929
147,0.0535583097180031,0.0797511634824176
148,0.0611335562536609,0.0854370100844299
149,0.0572200428738563,0.0817703145273513
150,0.0557161606415443,0.0802935503987666
151,0.0563376679221344,0.0782506708645989
152,0.0662415310533652,0.0803479980953187
153,0.0932909464081281,0.0749065709408338
154,0.115406837045194,0.13444548168985
155,0.0603475029774278,0.0755386431036435
156,0.0646417136694082,0.0725940084097626
157,0.0495097772825555,0.0683886194540962
158,0.052520475584527,0.0686550572386165
159,0.0681175367629164,0.0798490290991509
160,0.0588059857810138,0.0726501321772648
161,0.0587821261898939,0.0668623946817434
162,0.0623767060507652,0.0660831685165352
163,0.0611594728783237,0.0659971904472128
164,0.0522660803236732,0.0548971128425716
165,0.0530101256352495,0.0519064149912852
166,0.0687316365959412,0.0497953179088187
167,0.0662929560305827,0.0440713037566526
168,0.0520641726849139,0.0430924020994602
169,0.053025775732435,0.0406110208851641
170,0.0514688918592206,0.0420010422063087
171,0.0537788803409025,0.042745481352759
172,0.0405035454888573,0.0400325899723773
173,0.0362585421006132,0.0387828893369435
174,0.0376955069955077,0.0387296940553756
175,0.0393141372468616,0.0366975873971294
176,0.0465478955035946,0.036232292709267
177,0.0368997802609997,0.0332234048009224
178,0.0393400639445253,0.0329966692140315
179,0.0404078226917086,0.0378951307798188
180,0.0396391510961658,0.0355210880075522
181,0.0370735280683097,0.0372445334052757
182,0.0391148758568723,0.0374381633642281
183,0.0373105787666516,0.0363836396901553
184,0.0373454954082474,0.0384704763103943
185,0.0339603607068184,0.0358166194239311
186,0.0329931492062895,0.0363291342600246
187,0.0284130612699553,0.0301747546033884
188,0.0298181759466792,0.0298548535165387
189,0.0308151737715621,0.029550970847158
190,0.0321545690792491,0.0283386308432834
191,0.032895166513648,0.0277868213326083
192,0.0282772908563957,0.0273155464161103
193,0.026714381088553,0.0271588428754495
194,0.0265072214013508,0.0276935546475217
195,0.0292503608906125,0.0300018900019596
196,0.029405742951348,0.0303378384383768
197,0.0295457240869798,0.0318880473726046
198,0.0304900591784465,0.0326422646157011
199,0.0277583211316158,0.0324676534872249
200,0.0268238608151468,0.0333411482882607
201,0.024762728646826,0.0317364473748091
202,0.0261215398256252,0.0322862616070985
203,0.0280096015336541,0.0332186878650594
204,0.0286317538492972,0.0332229885693891
205,0.0308549436377127,0.0323090367812294
206,0.027330128852646,0.0338166466569654
207,0.0295495779373791,0.0362154954136548
208,0.0278666408911456,0.0391995400904046
209,0.0296963558240659,0.0412801442243867
210,0.0283215206785779,0.0402688817731737
211,0.0296671231433712,0.0425628896755082
212,0.0300659626997573,0.0450951083915683
213,0.0315167364630487,0.0475333006696547
214,0.0309029576014382,0.0487739838784456
215,0.0278552752146181,0.0470947356035737
216,0.0311993255297717,0.050486769038608
217,0.0296456571072529,0.0476465505286722
218,0.0302086604883574,0.0466525529958758
219,0.0327004933682032,0.0479875534769498
220,0.0337885278535337,0.0464752095137739
221,0.0385752635619092,0.044211833787747
222,0.0455450276497055,0.0460810996392626
223,0.0766169242754063,0.0511524872097762
