"date","county","state","fips","cases","deaths","datetime","days_from_start","logcases","rolled_cases","log_rolled_cases","t0","r","r.SE","r.grf","r.SE.grf","t0.grf"
"2020-03-15","Jefferson","Louisiana",22051,14,0,2020-03-15,54,2.63905732961526,4.57142857142857,1.51982575374441,-14.6839693054334,0.309263628149547,0.0135487840464795,0.298279489015671,0.0164741227751223,46.9457444940085
"2020-03-16","Jefferson","Louisiana",22051,21,0,2020-03-16,55,3.04452243772342,7.42857142857143,2.00533356952611,-14.6839693054334,0.309263628149547,0.0135487840464795,0.298279489015671,0.0164741227751223,46.9457444940085
"2020-03-16","Orleans","Louisiana",22071,95,3,2020-03-16,55,4.55387689160054,39.8571428571429,3.68530163276605,-8.30132422864202,0.224724048207594,0.0101739289733436,0.205306365009711,0.0269718271208241,34.5226463311991
"2020-03-17","Caddo","Louisiana",22017,4,0,2020-03-17,56,1.38629436111989,2,0.693147180559945,-18.0539419635895,0.334702239873925,0.00624644565762424,0.314115598119509,0.0144138861587408,53.3465502298486
"2020-03-17","Jefferson","Louisiana",22051,35,0,2020-03-17,56,3.55534806148941,12.2857142857143,2.5084371471982,-14.6839693054334,0.309263628149547,0.0135487840464795,0.298279489015671,0.0164741227751223,46.9457444940085
"2020-03-17","Orleans","Louisiana",22071,136,5,2020-03-17,56,4.91265488573605,58.5714285714286,4.07024701064304,-8.30132422864202,0.224724048207594,0.0101739289733436,0.205306365009711,0.0269718271208241,34.5226463311991
"2020-03-18","Caddo","Louisiana",22017,6,0,2020-03-18,57,1.79175946922805,2.71428571428571,0.998528830111126,-18.0539419635895,0.334702239873925,0.00624644565762424,0.314115598119509,0.0144138861587408,53.3465502298486
"2020-03-18","Jefferson","Louisiana",22051,45,1,2020-03-18,57,3.80666248977032,18.5714285714286,2.92162430140027,-14.6839693054334,0.309263628149547,0.0135487840464795,0.298279489015671,0.0164741227751223,46.9457444940085
"2020-03-18","Orleans","Louisiana",22071,196,6,2020-03-18,57,5.27811465923052,85,4.44265125649032,-8.30132422864202,0.224724048207594,0.0101739289733436,0.205306365009711,0.0269718271208241,34.5226463311991
"2020-03-19","Caddo","Louisiana",22017,10,0,2020-03-19,58,2.30258509299405,4,1.38629436111989,-18.0539419635895,0.334702239873925,0.00624644565762424,0.314115598119509,0.0144138861587408,53.3465502298486
"2020-03-19","Jefferson","Louisiana",22051,69,1,2020-03-19,58,4.23410650459726,28.2857142857143,3.34235688163922,-14.6839693054334,0.309263628149547,0.0135487840464795,0.298279489015671,0.0164741227751223,46.9457444940085
