"date","county","state","fips","cases","deaths","datetime","days_from_start","logcases","rolled_cases","log_rolled_cases","t0","r","r.SE","r.grf","r.SE.grf","t0.grf"
"2020-03-08","Grafton","New Hampshire",33009,3,0,2020-03-08,47,1.09861228866811,2.14285714285714,0.762140052046895,-5.10923628134173,0.120298782612843,0.00414500692812466,0.117246530880834,0.00666461467166098,42.0018828238114
"2020-03-09","Grafton","New Hampshire",33009,3,0,2020-03-09,48,1.09861228866811,2.42857142857143,0.887303195000903,-5.10923628134173,0.120298782612843,0.00414500692812466,0.117246530880834,0.00666461467166098,42.0018828238114
"2020-03-10","Grafton","New Hampshire",33009,3,0,2020-03-10,49,1.09861228866811,2.57142857142857,0.944461608840851,-5.10923628134173,0.120298782612843,0.00414500692812466,0.117246530880834,0.00666461467166098,42.0018828238114
"2020-03-11","Grafton","New Hampshire",33009,3,0,2020-03-11,50,1.09861228866811,2.71428571428571,0.998528830111126,-5.10923628134173,0.120298782612843,0.00414500692812466,0.117246530880834,0.00666461467166098,42.0018828238114
"2020-03-12","Grafton","New Hampshire",33009,3,0,2020-03-12,51,1.09861228866811,2.85714285714286,1.04982212449868,-5.10923628134173,0.120298782612843,0.00414500692812466,0.117246530880834,0.00666461467166098,42.0018828238114
"2020-03-13","Grafton","New Hampshire",33009,3,0,2020-03-13,52,1.09861228866811,3,1.09861228866811,-5.10923628134173,0.120298782612843,0.00414500692812466,0.117246530880834,0.00666461467166098,42.0018828238114
"2020-03-13","Rockingham","New Hampshire",33015,4,0,2020-03-13,52,1.38629436111989,2,0.693147180559945,-9.00381802441616,0.193339614896402,0.00545653982146281,0.188008922473681,0.016860609452705,46.1041119098916
"2020-03-14","Grafton","New Hampshire",33009,3,0,2020-03-14,53,1.09861228866811,3,1.09861228866811,-5.10923628134173,0.120298782612843,0.00414500692812466,0.117246530880834,0.00666461467166098,42.0018828238114
"2020-03-14","Rockingham","New Hampshire",33015,4,0,2020-03-14,53,1.38629436111989,2.42857142857143,0.887303195000903,-9.00381802441616,0.193339614896402,0.00545653982146281,0.188008922473681,0.016860609452705,46.1041119098916
"2020-03-15","Grafton","New Hampshire",33009,3,0,2020-03-15,54,1.09861228866811,3,1.09861228866811,-5.10923628134173,0.120298782612843,0.00414500692812466,0.117246530880834,0.00666461467166098,42.0018828238114
"2020-03-15","Rockingham","New Hampshire",33015,9,0,2020-03-15,54,2.19722457733622,3.57142857142857,1.27296567581289,-9.00381802441616,0.193339614896402,0.00545653982146281,0.188008922473681,0.016860609452705,46.1041119098916
"2020-03-16","Grafton","New Hampshire",33009,5,0,2020-03-16,55,1.6094379124341,3.28571428571429,1.18958406687384,-5.10923628134173,0.120298782612843,0.00414500692812466,0.117246530880834,0.00666461467166098,42.0018828238114
"2020-03-16","Rockingham","New Hampshire",33015,10,0,2020-03-16,55,2.30258509299405,4.85714285714286,1.58045037556085,-9.00381802441616,0.193339614896402,0.00545653982146281,0.188008922473681,0.016860609452705,46.1041119098916
"2020-03-17","Grafton","New Hampshire",33009,7,0,2020-03-17,56,1.94591014905531,3.85714285714286,1.34992671694902,-5.10923628134173,0.120298782612843,0.00414500692812466,0.117246530880834,0.00666461467166098,42.0018828238114
"2020-03-17","Rockingham","New Hampshire",33015,14,0,2020-03-17,56,2.63905732961526,6.57142857142857,1.88273124743378,-9.00381802441616,0.193339614896402,0.00545653982146281,0.188008922473681,0.016860609452705,46.1041119098916
"2020-03-18","Grafton","New Hampshire",33009,7,0,2020-03-18,57,1.94591014905531,4.42857142857143,1.48807705542983,-5.10923628134173,0.120298782612843,0.00414500692812466,0.117246530880834,0.00666461467166098,42.0018828238114
"2020-03-18","Rockingham","New Hampshire",33015,17,0,2020-03-18,57,2.83321334405622,8.71428571428571,2.164963715118,-9.00381802441616,0.193339614896402,0.00545653982146281,0.188008922473681,0.016860609452705,46.1041119098916
"2020-03-19","Grafton","New Hampshire",33009,9,0,2020-03-19,58,2.19722457733622,5.28571428571429,1.66500776358891,-5.10923628134173,0.120298782612843,0.00414500692812466,0.117246530880834,0.00666461467166098,42.0018828238114
"2020-03-19","Rockingham","New Hampshire",33015,18,0,2020-03-19,58,2.89037175789616,10.8571428571429,2.38482319123102,-9.00381802441616,0.193339614896402,0.00545653982146281,0.188008922473681,0.016860609452705,46.1041119098916
"2020-03-20","Grafton","New Hampshire",33009,13,0,2020-03-20,59,2.56494935746154,6.71428571428571,1.90423745265474,-5.10923628134173,0.120298782612843,0.00414500692812466,0.117246530880834,0.00666461467166098,42.0018828238114
"2020-03-20","Rockingham","New Hampshire",33015,20,0,2020-03-20,59,2.99573227355399,13.1428571428571,2.57587842799372,-9.00381802441616,0.193339614896402,0.00545653982146281,0.188008922473681,0.016860609452705,46.1041119098916
"2020-03-21","Grafton","New Hampshire",33009,14,0,2020-03-21,60,2.63905732961526,8.28571428571429,2.11453286149111,-5.10923628134173,0.120298782612843,0.00414500692812466,0.117246530880834,0.00666461467166098,42.0018828238114
"2020-03-21","Hillsborough","New Hampshire",33011,12,0,2020-03-21,60,2.484906649788,6.42857142857143,1.86075234071501,-11.1009582715821,0.21711227156146,0.00156395834059212,0.19859688625754,0.0100634686960416,49.6504635195164
"2020-03-21","Rockingham","New Hampshire",33015,25,0,2020-03-21,60,3.2188758248682,16.1428571428571,2.78147766965702,-9.00381802441616,0.193339614896402,0.00545653982146281,0.188008922473681,0.016860609452705,46.1041119098916
"2020-03-22","Carroll","New Hampshire",33003,6,0,2020-03-22,61,1.79175946922805,3.71428571428571,1.31218638896617,-3.88414047595588,0.0872661704423324,0.00358117624536637,0.117156773461615,0.00679263281944267,50.3748610121215
"2020-03-22","Grafton","New Hampshire",33009,15,0,2020-03-22,61,2.70805020110221,10,2.30258509299405,-5.10923628134173,0.120298782612843,0.00414500692812466,0.117246530880834,0.00666461467166098,42.0018828238114
"2020-03-22","Hillsborough","New Hampshire",33011,16,0,2020-03-22,61,2.77258872223978,8.57142857142857,2.14843441316679,-11.1009582715821,0.21711227156146,0.00156395834059212,0.19859688625754,0.0100634686960416,49.6504635195164
"2020-03-22","Rockingham","New Hampshire",33015,28,0,2020-03-22,61,3.3322045101752,18.8571428571429,2.93689177353106,-9.00381802441616,0.193339614896402,0.00545653982146281,0.188008922473681,0.016860609452705,46.1041119098916
"2020-03-23","Carroll","New Hampshire",33003,7,0,2020-03-23,62,1.94591014905531,4.57142857142857,1.51982575374441,-3.88414047595588,0.0872661704423324,0.00358117624536637,0.117156773461615,0.00679263281944267,50.3748610121215
"2020-03-23","Grafton","New Hampshire",33009,20,0,2020-03-23,62,2.99573227355399,12.1428571428571,2.496741107435,-5.10923628134173,0.120298782612843,0.00414500692812466,0.117246530880834,0.00666461467166098,42.0018828238114
